,county,population,median_home_value,median_gross_rent,median_age,household_income,per_capita_income,caucasian,african_american,native_american,asian,hispanic,state,county_fips_x,pop_density,state_num,percent_african_american,percent_caucasian,percent_asian,percent_native_american,percent_hispanic,republican
24,Noxubee,10828.0,60800.0,548.0,36.4,36000.0,17637.0,2940.0,7820.0,9.0,4.0,148.0,Mississippi,103,14.98507381500000,28,0.722201699298116,0.27151828592537863,0.0003694126339120798,0.0008311784263021796,0.013668267454746953,0.21528525296017226
25,Neshoba,29376.0,81400.0,659.0,36.8,36875.0,19641.0,17673.0,6196.0,4754.0,136.0,599.0,Mississippi,99,51.07217272200000,28,0.21092047930283225,0.6016135620915033,0.004629629629629629,0.16183278867102396,0.02039079520697168,0.7276603809343315
26,Rankin,151240.0,160000.0,975.0,37.4,64557.0,29874.0,115013.0,31003.0,225.0,1738.0,4141.0,Mississippi,121,200.22178346000000,28,0.20499206559111346,0.7604668077228246,0.011491668870669136,0.0014877016662258663,0.027380322665961385,0.7516250318633698
27,Tate,28493.0,117800.0,718.0,37.6,51056.0,23542.0,18908.0,8352.0,40.0,52.0,760.0,Mississippi,137,69.96925998000000,28,0.2931246271013933,0.6636015863545432,0.0018250096514933493,0.001403853578071807,0.026673217983364333,0.6446202803818698
28,Lawrence,12630.0,93200.0,746.0,40.3,42290.0,21809.0,8259.0,4193.0,10.0,16.0,79.0,Mississippi,77,29.22884694500000,28,0.33198733174980205,0.6539192399049881,0.001266825019794141,0.000791765637371338,0.006254948535233571,0.6428346951602766
29,Panola,34243.0,77400.0,652.0,37.8,36563.0,19972.0,16645.0,17101.0,59.0,6.0,693.0,Mississippi,107,49.90257338700000,28,0.49940133749963495,0.48608474724761264,0.00017521829278976725,0.001722979879099378,0.020237712817218118,0.49449017525225697
30,Yalobusha,12421.0,83100.0,610.0,42.6,41864.0,21140.0,7220.0,5054.0,44.0,8.0,198.0,Mississippi,161,25.91883180800000,28,0.40689155462523147,0.5812736494646163,0.0006440705257225667,0.0035423878914741165,0.015940745511633523,0.5555372716801054
31,Chickasaw,17279.0,66000.0,608.0,36.8,35939.0,19556.0,9063.0,7505.0,21.0,12.0,815.0,Mississippi,17,34.08454771900000,28,0.43434226517738295,0.524509520226865,0.000694484634527461,0.001215348110423057,0.0471670814283234,0.5230671736375159
32,Copiah,28721.0,97900.0,724.0,38.2,40361.0,19434.0,13047.0,14895.0,9.0,92.0,910.0,Mississippi,29,36.10644840300000,28,0.5186100762508269,0.4542669127119529,0.003203231085268619,0.0003133595626893214,0.031684133560809166,0.4701124634108766
33,George,23710.0,109800.0,686.0,36.3,48319.0,21105.0,21185.0,1908.0,227.0,98.0,652.0,Mississippi,39,51.18070712000000,28,0.08047237452551666,0.893504850274146,0.004133277098270772,0.009574019401096584,0.02749894559257697,0.8791830957436053
34,Hinds,241774.0,115200.0,845.0,34.4,43005.0,23114.0,62129.0,174698.0,264.0,1897.0,3741.0,Mississippi,49,266.53483115000000,28,0.7225673562914127,0.2569713865014435,0.007846170390529998,0.00109192882609379,0.015473127797033593,0.2669490182824432
35,Newton,21524.0,83000.0,628.0,36.6,33831.0,21600.0,13436.0,6519.0,1109.0,110.0,402.0,Mississippi,101,36.37246505800000,28,0.3028712135290838,0.6242334138635941,0.005110574242705817,0.05152388031964319,0.01867682586879762,0.6937910574274211
36,Union,28356.0,95000.0,697.0,38.2,41287.0,20088.0,22687.0,4172.0,17.0,112.0,1208.0,Mississippi,145,69.33227899800000,28,0.147129355339258,0.8000775849908308,0.003949781351389477,0.0005995203836930455,0.042601213147129356,0.8033228949199722
37,Sharkey,4511.0,61800.0,486.0,42.1,28799.0,17877.0,1132.0,3337.0,6.0,28.0,5.0,Mississippi,125,10.00880140500000,28,0.7397472844158723,0.25094214143205495,0.006207049434715141,0.001330082021724673,0.0011084016847705607,0.31598173515981737
38,Tippah,21990.0,83100.0,553.0,39.4,39839.0,20180.0,17301.0,3755.0,17.0,82.0,1023.0,Mississippi,139,48.08632783300000,28,0.1707594361073215,0.7867667121418827,0.003728967712596635,0.0007730786721236926,0.046521145975443386,0.7839740119112074
39,Forrest,75517.0,120700.0,761.0,32.4,40675.0,22042.0,44901.0,27900.0,132.0,678.0,2246.0,Mississippi,35,160.70873230000000,28,0.3694532356952739,0.5945813525431359,0.008978110888938915,0.0017479507925367798,0.02974164757604248,0.5509193272519954
